                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4086,                 4.0899,                 1.9443,                      0,                      0,                      0,                      0,                 2.7413,                 4.2666,                 2.0516,               1.25e-05,               1.25e-05,               1.25e-05
                      2,                 2.4766,                 4.1842,                 1.9142,                      0,                      0,                      0,                      0,                 2.7062,                 4.2666,                 2.0696,             3.7129e-05,             3.7129e-05,             3.7129e-05
                      3,                 2.6268,                 4.1644,                 1.9746,                      0,                      0,                      0,                      0,                 2.6698,                 4.2778,                 2.0712,             6.1263e-05,             6.1263e-05,             6.1263e-05
                      4,                 2.5652,                 4.1329,                 2.0074,                      0,                      0,                      0,                      0,                 2.5823,                  4.274,                 2.0347,             8.4901e-05,             8.4901e-05,             8.4901e-05
                      5,                 2.4842,                 3.9823,                 2.0133,                0.00189,                   0.02,                0.00099,                 0.0001,                 2.5092,                  4.279,                 1.9962,             0.00010804,             0.00010804,             0.00010804
                      6,                 2.3255,                 3.9094,                 1.7156,                0.00181,                   0.02,                0.00096,                 0.0001,                 2.4704,                 4.3118,                 1.9858,             0.00013069,             0.00013069,             0.00013069
                      7,                 2.1627,                 3.8341,                 1.6399,                0.00365,                   0.04,                0.00202,                 0.0006,                 2.5194,                 4.3089,                 2.0242,             0.00015285,             0.00015285,             0.00015285
                      8,                 2.1163,                  3.635,                 1.6864,                 0.0038,                   0.04,                0.00509,                0.00144,                 2.4945,                 4.2988,                  2.003,             0.00017451,             0.00017451,             0.00017451
                      9,                 2.0047,                 3.5553,                 1.5457,                 0.0041,                   0.04,                0.02226,                0.00706,                 2.4326,                 4.2648,                 1.9528,             0.00019567,             0.00019567,             0.00019567
                     10,                 2.1313,                 3.5088,                 1.5687,                0.00667,                   0.06,                 0.0166,                0.00747,                 2.3974,                 4.2441,                 1.9045,             0.00021634,             0.00021634,             0.00021634
                     11,                 2.1451,                 3.2958,                  1.595,                0.00735,                   0.06,                0.02369,                0.01354,                 2.3534,                 4.1538,                 1.8168,             0.00023651,             0.00023651,             0.00023651
                     12,                 2.0227,                 3.0918,                 1.4625,                0.01111,                   0.08,                0.04322,                 0.0296,                  2.324,                 4.0695,                 1.7723,             0.00025619,             0.00025619,             0.00025619
                     13,                 2.0196,                 3.0206,                 1.5194,                0.01527,                   0.08,                0.05082,                0.03546,                 2.2532,                 3.9501,                 1.6665,             0.00027538,             0.00027538,             0.00027538
                     14,                 2.0538,                 2.9281,                 1.4328,                0.02041,                   0.08,                 0.0676,                0.03893,                 2.0702,                 3.8659,                 1.5071,             0.00029406,             0.00029406,             0.00029406
                     15,                 1.9005,                 2.6871,                  1.451,                0.03571,                    0.1,                0.05411,                 0.0255,                 2.0591,                 3.8062,                 1.4284,             0.00031226,             0.00031226,             0.00031226
                     16,                 1.9319,                  2.562,                 1.3307,                0.02717,                    0.1,                 0.0399,                0.01893,                 2.1199,                 3.7994,                  1.484,             0.00032996,             0.00032996,             0.00032996
                     17,                 2.0044,                 2.7261,                 1.4616,                  0.025,                   0.14,                0.08378,                0.02244,                 2.2094,                 3.8362,                  1.551,             0.00034716,             0.00034716,             0.00034716
                     18,                 1.9751,                 2.4251,                 1.4618,                0.03413,                 0.1825,                0.10415,                0.03044,                 2.2375,                 3.7898,                 1.5797,             0.00036387,             0.00036387,             0.00036387
                     19,                 1.9977,                 2.3821,                 1.4695,                  0.042,                 0.1825,                0.10744,                0.03264,                 2.2818,                 3.7522,                 1.6213,             0.00038008,             0.00038008,             0.00038008
                     20,                 1.9824,                 2.2399,                 1.4143,                0.04091,                   0.18,                0.12483,                0.02916,                 2.2874,                 3.7401,                 1.6475,              0.0003958,              0.0003958,              0.0003958
                     21,                 1.9302,                 1.9895,                 1.4334,                0.03101,                   0.16,                0.05927,                0.02453,                 2.3838,                 3.7967,                 1.7591,             0.00041103,             0.00041103,             0.00041103
                     22,                 1.8445,                 2.2256,                 1.3981,                0.01807,                   0.12,                0.04002,                0.01773,                  2.421,                 3.8323,                 1.8833,             0.00042575,             0.00042575,             0.00042575
                     23,                 1.9997,                 2.1097,                  1.415,                0.13723,                   0.06,                0.02693,                0.01288,                 2.5084,                  3.916,                 1.9942,             0.00043999,             0.00043999,             0.00043999
                     24,                 1.7745,                 1.8517,                 1.3429,                 0.0219,                   0.12,                0.03116,                0.01418,                 2.5604,                 3.9349,                 2.0073,             0.00045373,             0.00045373,             0.00045373
                     25,                 1.8754,                 2.0797,                 1.3427,                0.02747,                 0.1625,                  0.035,                0.01623,                 2.6526,                 3.9912,                 2.0711,             0.00046697,             0.00046697,             0.00046697
